Model name,Partners involved *,Geographical scope *,Description,Update frequency,Topic *,Link to model code (if available),Main contacts,Additional documentation
Project Jetson,"UNHCR Innovation Service, UN Global Pulse, Essex University Big Data & Technology Centre, Omdena Foundation","Somalia, Ethiopia","Jetson is experimenting with two methods: gravity model and multivariate TSA, machine learning-based (open source, Python and R applications). The target variable is forced displacement, and the nexus between displacement, climate/weather anomalies and changes and violent conflict. The model predicts at least one month of forced displacement movement (population flow, influx-only). This is the arrivals of IDPs and Refugees in the different regions of Somalia (admin level 1) and the southern border region of Ethiopia (Dollo Ado).",Every 3 months since 2017,Affected people,https://github.com/unhcr/Jetson,"<a href=""mailto:innovation@unhcr.org"">innovation@unhcr.org</a>","<a href=""http://jetson.unhcr.org/"">http://jetson.unhcr.org/</a>"
Unaccompanied and separated children projection model,"UNHCR, University of East Anglia","South Sudan, Democratic Republic of the Congo, Somalia","Arrivals of unaccompanied and separated children in refugee settings. The outcome is a prediction of the number of arrivals of Unaccompanied and Separated Children (UASC), usually by month but sometimes by week.",Under development - models created for several countries and updated each year.,Affected people,,"<a href=""mailto:innovation@unhcr.org"">innovation@unhcr.org</a>",
The Joint Analysis of Disaster Exposure (JADE),"OCHA (Asia-Pacific), WFP (Asia-Pacific), Pacific Disaster Centre",20 countries supported in the Asia Pacific region,"Estimates the number of people likely to be in need after a sudden onset natural hazard. The JADE provides the number of people living in affected areas, the number of people living in the worst affected areas, and the number of people living in the worst affected area who were already considered ""vulnerable"" before the crisis.  There are a number other values and figures provided.  The spatial resolution is 1 x 1 km.",The initiative was launched in 2018.  The actual analysis is launched within 24 hours of a sudden onset emergency.  It is not expected to be updated during the course of an emergency.  ,Affected people,,"<a href=""https://www.pdc.org/contact/"">https://www.pdc.org/contact/</a>","<ul><li><a href=""https://www.pdc.org/hnpw-2019/"">https://www.pdc.org/hnpw-2019/</a></li>
<li><a href=""https://www.humanitarianresponse.info/en/operations/bangladesh/document/20191116cyclone-bulbuljoint-rapid-assessment-compiledfinal-draft"">https://www.humanitarianresponse.info/en/operations/bangladesh/document/20191116cyclone-bulbuljoint-rapid-assessment-compiledfinal-draft</a></li>
<li><a href=""https://reliefweb.int/map/philippines/typhoon-kammuri-philippines-warning-24-01-december-2019-1500utc-joint-analysis"">https://reliefweb.int/map/philippines/typhoon-kammuri-philippines-warning-24-01-december-2019-1500utc-joint-analysis</a></li></ul>"
Flee,Brunel University London (contributions from HiDALGO consortium and VECMA consortium. Also received guidance and input from IOM and UNHCR),The results cover case studies of three African countries at the moment but can be generalized to more contexts as per the authors. ,"Flee aims to establish a tool that can (a) forecast the destinations of forcibly displaced persons, (b) estimate the effects on migration of major policy decisions such as border closures and camp relocations, (c) provide an estimation of the number of displaced persons in areas where the data collection is incomplete.",The first major version of Flee was established in 2017. It is updated continuously and is funded until May 2023. An updated and more realistic rule set for agent movement is expected in Q1 or Q2 2020.,Affected people,https://github.com/djgroen/flee-release,,"<ul><li><a href=""https://www.nature.com/articles/s41598-017-13828-9"">https://www.nature.com/articles/s41598-017-13828-9</a></li>

<li><a href=""https://bura.brunel.ac.uk/bitstream/2438/12519/1/Fulltext.pdf"">https://bura.brunel.ac.uk/bitstream/2438/12519/1/Fulltext.pdf</a></li>

<li><a href=""http://jasss.soc.surrey.ac.uk/23/1/2.html"">http://jasss.soc.surrey.ac.uk/23/1/2.html</a></li></ul>"
INFORM Risk Index,Joint Research Centre of European Commission with contributions from multiple partners,Global coverage (subnational in some countries),"Risk for humanitarian crisis and disasters is evaluated along three dimensions coping capacity, vulnerability and hazard. The model has global coverage, and the output is national scale.","It was developed in the 2014, and it is updated twice a year",Coordination and context,http://publications.europa.eu/resource/cellar/b1ef756c-5fbc-11e7-954d-01aa75ed71a1.0001.02/DOC_1,"<a href=""mailto:contact@inform-index.org"">contact@inform-index.org</a>","<ul><li><a href=""www.inform-index.org"">www.inform-index.org</a></li>

<li><a href=""http://publications.europa.eu/resource/cellar/b1ef756c-5fbc-11e7-954d-01aa75ed71a1.0001.02/DOC_1"">http://publications.europa.eu/resource/cellar/b1ef756c-5fbc-11e7-954d-01aa75ed71a1.0001.02/DOC_1</a></li></ul>"
Foresight Project,Danish Refugee Council and IBM,"Afghanistan, Myanmar",The project develops a forecasting model for total forced displacement from a country 1-3 years ahead. Total forced displacement is a combination of refugees and asylum seekers outside a given country and the internally displaced in the same country.,The project was updated in 2019-2020 and it will be continuously updated with more countries.,Refugees and persons of concern,https://github.com/IBM/mixed-migration-forecasting,"<a href=""mailtp:drc@drc.ngo"">drc@drc.ngo</a>","<a href=""https://youtu.be/WFAhHkzPS_k"">https://youtu.be/WFAhHkzPS_k</a>"
The Inundation Model - Google flood forecasting model,Google AI for Social Good,Pilot in India (Bihar) with extended coverage in in 2019 in the Indian subcontinent.,Simulation based real time flood forecasting model. Accurate predictions of severity and locations of flooding based on AI and physics simulation. Integrated with local partners to put an active warning system in place.,Project started mid 2018 and latest 2019 iteration available online. ,Affected areas,,"<a href=""https://ai.googleblog.com/2019/03/a-summary-of-google-flood-forecasting.html"">https://ai.googleblog.com/2019/03/a-summary-of-google-flood-forecasting.html</a>","<ul><li><a href=""https://aiforsocialgood.github.io/2018/pdfs/track2/79_aisg_neurips2018.pdf"">https://aiforsocialgood.github.io/2018/pdfs/track2/79_aisg_neurips2018.pdf</a></li>

<li><a href=""https://ai.googleblog.com/2019/09/an-inside-look-at-flood-forecasting.html"">https://ai.googleblog.com/2019/09/an-inside-look-at-flood-forecasting.html</a></li></ul>"
African Risk Capacity,"African Union, Africa Risk Capacity",33 African Union member states,"Large umbrella effort to have better responses towards extreme weather events and natural disasters. The frameworks uses predictive analytics and innovative financing (insurance to redistribute risk and risk pooling) to respond.  Framework covers multiple disasters types: droughts, floods, diseases, and cyclones. The pure modelling efforts are ARV (Africa riskview). ","ARV model updated every year (sometimes for every harvest season)

Proprietary software package - access can be requested. ",Affected people,https://www.africanriskcapacity.org/wp-content/uploads/2019/05/Africa-RiskView-brochure-May-2019.pdf||Proprietary software. Model details available here,"<a href=""mailto:info@africanriskcapacity.org"">info@africanriskcapacity.org</a>","<ul><li><a href=""https://www.africanriskcapacity.org/"">https://www.africanriskcapacity.org/</a></li>

<li><a href=""https://www.africanriskcapacity.org/wp-content/uploads/2019/05/Africa-RiskView-Software-brochure.pdf"">https://www.africanriskcapacity.org/wp-content/uploads/2019/05/Africa-RiskView-Software-brochure.pdf</a></li></ul>"
Famine Early Warning Systems Network (FEWSNET),"USAID (also NASA, NOAA, USDA, USGS)","28 countries with a focus on West, Southern and East Africa","Early warning and analysis of food insecurity - livelihood based model. Efforts are made to understand impacts on livelihoods, markets/sources, nutrition. A key component of monitoring is satellite based remote sensing. Mixed methods analysis (quantitative and qualitative analysis) enables FEWSNET to build reliable scenarios and Integrated Food Classification (IPC).",Updates may be issued every month. Consistent new datasets for all monitored countries are released every ~6 months (every harvest season),Food security,,"<a href=""https://fews.net/contact"">https://fews.net/contact</a>","<ul><li><a href=""https://fews.net/fews-data/333"">https://fews.net/fews-data/333</a></li><li><a href=""http://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/manual/IPC_Technical_Manual_3_Final.pdf"">http://www.ipcinfo.org/fileadmin/user_upload/ipcinfo/manual/IPC_Technical_Manual_3_Final.pdf</a></li></ul>"
Artemis Model,World Bank,Pilot in 5 countries to be expanded to 21 additional countries,"The model combines qualitative, remote sensing, and data insights from multiple sources to generate a subnational signal of food insecurity at least 6 months to 1 year in advance.",No planned updates of the model after publication in scientific journal.,Food security,,,"Scientific paper to be published in 2020

<ul><li><a href=""https://www.worldbank.org/en/programs/famine-early-action-mechanism"">https://www.worldbank.org/en/programs/famine-early-action-mechanism</a></li>

<li><a href=""https://www.unocha.org/story/famine-action-mechanism-predictive-data-faster-financing-and-better-joint-response-rid-world"">https://www.unocha.org/story/famine-action-mechanism-predictive-data-faster-financing-and-better-joint-response-rid-world</a></li></ul>"
